=== Portion Estimation Evaluation ===
Figs: MAE = 0.25g, RMSE = 0.33g
Filet-o-Fish: MAE = 0.28g, RMSE = 0.35g
Fish Sandwich: MAE = 0.40g, RMSE = 0.55g
Fish and Chips: MAE = 0.48g, RMSE = 0.64g
Flaxseed: MAE = 0.26g, RMSE = 0.38g
Four Cheese Pizza: MAE = 0.21g, RMSE = 0.29g
Freekeh: MAE = 0.40g, RMSE = 0.51g
French Fries: MAE = 0.29g, RMSE = 0.39g
French Onion Soup: MAE = 0.20g, RMSE = 0.28g
French Vanilla Ice Cream: MAE = 0.45g, RMSE = 0.58g
Fried Rice: MAE = 0.30g, RMSE = 0.40g
Fried Shrimp: MAE = 0.34g, RMSE = 0.47g
Fruit salad: MAE = 0.30g, RMSE = 0.46g
Fusilli: MAE = 0.40g, RMSE = 0.57g
Galia Melon: MAE = 0.37g, RMSE = 0.49g
Garlic: MAE = 2.84g, RMSE = 6.39g
Gherkin: MAE = 0.52g, RMSE = 0.73g
Glass Noodles: MAE = 0.38g, RMSE = 0.51g
Gluten: MAE = 0.37g, RMSE = 0.50g
Goat Cheese Pizza: MAE = 0.35g, RMSE = 0.46g
Golden Mushroom Soup: MAE = 0.34g, RMSE = 0.50g
Goulash: MAE = 0.38g, RMSE = 0.56g
Gourd: MAE = 0.41g, RMSE = 0.53g
Grapefruit: MAE = 0.22g, RMSE = 0.31g
Grapes: MAE = 6.45g, RMSE = 10.94g
Green Beans: MAE = 0.46g, RMSE = 0.63g
Green Olives: MAE = 0.39g, RMSE = 0.56g
Green Onion: MAE = 0.50g, RMSE = 0.66g
Greengage: MAE = 0.31g, RMSE = 0.44g
Grilled Cheese Sandwich: MAE = 0.26g, RMSE = 0.36g
Grilled Chicken Salad: MAE = 0.53g, RMSE = 0.78g
Grilled Pizza: MAE = 0.39g, RMSE = 0.52g
Grissini: MAE = 0.30g, RMSE = 0.39g
Guava: MAE = 0.47g, RMSE = 0.64g
Ham Sandwich: MAE = 0.28g, RMSE = 0.39g
Ham and Cheese Sandwich: MAE = 0.33g, RMSE = 0.46g
Hamburger: MAE = 0.36g, RMSE = 0.47g
Hawaiian Pizza: MAE = 0.41g, RMSE = 0.54g
Healthy Choice: MAE = 0.40g, RMSE = 0.57g
Honeydew: MAE = 5.09g, RMSE = 12.34g
Horseradish: MAE = 0.24g, RMSE = 0.30g
Hot Dog: MAE = 0.36g, RMSE = 0.48g
Hot Fudge Sundae: MAE = 0.42g, RMSE = 0.59g
Hummus: MAE = 0.52g, RMSE = 0.73g
Ice Cream Sandwich: MAE = 0.43g, RMSE = 0.55g
Ice Cream Sundae: MAE = 0.25g, RMSE = 0.37g
Ice Milk: MAE = 0.50g, RMSE = 0.67g
Instant Ramen: MAE = 0.34g, RMSE = 0.48g
Italian BMT: MAE = 0.45g, RMSE = 0.65g
Jackfruit: MAE = 0.32g, RMSE = 0.42g
Jambalaya: MAE = 0.43g, RMSE = 0.63g
Jujube: MAE = 1.34g, RMSE = 2.70g
Kale: MAE = 0.37g, RMSE = 0.52g
Kamut: MAE = 0.45g, RMSE = 0.67g
Kebab: MAE = 0.65g, RMSE = 0.81g
Kiwi: MAE = 0.38g, RMSE = 0.52g
Kohlrabi: MAE = 0.43g, RMSE = 0.57g
Kumara: MAE = 0.38g, RMSE = 0.54g
Kumquat: MAE = 0.40g, RMSE = 0.56g
Lasagna: MAE = 0.24g, RMSE = 0.34g
Lasagne: MAE = 0.37g, RMSE = 0.55g
Lasagne Sheets: MAE = 0.36g, RMSE = 0.44g
Leek: MAE = 0.24g, RMSE = 0.31g
Lemon: MAE = 0.54g, RMSE = 0.72g
Lentil Soup: MAE = 0.30g, RMSE = 0.43g
Lettuce: MAE = 0.29g, RMSE = 0.41g
Lime: MAE = 0.37g, RMSE = 0.50g
Linguine: MAE = 0.36g, RMSE = 0.50g
Lobster Bisque Soup: MAE = 0.37g, RMSE = 0.56g
Low Carb Pasta: MAE = 0.34g, RMSE = 0.47g
Lychee: MAE = 0.54g, RMSE = 0.78g
Lychees: MAE = 0.50g, RMSE = 0.67g
Mac and Cheese: MAE = 0.51g, RMSE = 0.69g
Macaroni: MAE = 0.33g, RMSE = 0.53g
Macaroni and Cheese: MAE = 0.42g, RMSE = 0.53g
Magnolia: MAE = 0.40g, RMSE = 0.49g
Magnum: MAE = 0.35g, RMSE = 0.53g
Magnum Almond: MAE = 0.30g, RMSE = 0.40g
Magnum Double Caramel: MAE = 0.37g, RMSE = 0.54g
Magnum Double Chocolate: MAE = 0.33g, RMSE = 0.48g
Magnum Gold: MAE = 0.60g, RMSE = 0.81g
Magnum White: MAE = 0.34g, RMSE = 0.48g
Mandarin Oranges: MAE = 0.29g, RMSE = 0.36g
Mango: MAE = 0.42g, RMSE = 0.59g
Mangosteen: MAE = 0.38g, RMSE = 0.65g
Manicotti: MAE = 0.46g, RMSE = 0.61g
Maracuya: MAE = 0.42g, RMSE = 0.60g
Maraschino Cherries: MAE = 0.41g, RMSE = 0.62g
Margherita Pizza: MAE = 0.41g, RMSE = 0.59g
Mashed Potatoes: MAE = 0.48g, RMSE = 0.61g
McDonald's Big Mac: MAE = 0.46g, RMSE = 0.60g
McDonald's Cheeseburger: MAE = 0.37g, RMSE = 0.56g
McDonald's Chicken Nuggets: MAE = 0.38g, RMSE = 0.47g
McDonald's Double Cheeseburger: MAE = 0.39g, RMSE = 0.55g
McDonald's Filet-o-Fish: MAE = 0.32g, RMSE = 0.43g
McDonald's McChicken: MAE = 0.57g, RMSE = 0.76g
McDonald's McDouble: MAE = 0.40g, RMSE = 0.53g
McDonald's McMuffi Egg: MAE = 0.33g, RMSE = 0.45g
McDonald's McRib: MAE = 0.40g, RMSE = 0.54g
McDonald's Mighty Wings: MAE = 0.41g, RMSE = 0.60g
McFlurry: MAE = 0.30g, RMSE = 0.41g
McFlurry Oreo: MAE = 0.51g, RMSE = 0.71g
McRib: MAE = 0.24g, RMSE = 0.32g
Meat Pie: MAE = 0.23g, RMSE = 0.32g
Meatball Sandwich: MAE = 0.40g, RMSE = 0.52g
Meatball Soup: MAE = 0.23g, RMSE = 0.32g
Meatloaf: MAE = 0.47g, RMSE = 0.73g
Millet: MAE = 0.27g, RMSE = 0.37g
Millet Flour: MAE = 0.44g, RMSE = 0.65g
Millet Gruel: MAE = 0.29g, RMSE = 0.38g
Minestrone: MAE = 0.44g, RMSE = 0.55g
Mini Milk: MAE = 0.38g, RMSE = 0.50g
